user_id,minutes_viewed,ml_ouput
17179869316,166,
17179869317,87,
17179869318,1,
17179869319,27,
17179869320,0,
17179869321,1447,
17179869322,61,
17179869323,845,
17179869324,261,
17179869325,21,
17179869327,0,
17179869328,94,
17179869330,1,
17179869331,71,
17179869332,203,
17179869333,1,
17179869334,32,
17179869336,450,
17179869337,4,
17179869339,29,
17179869340,405,
17179869341,212,
17179869342,245,
17179869343,430,
17179869344,3,
17179869345,85,
17179869346,92,
17179869347,456,
17179869348,0,
17179869349,1334,
17179869350,483,
17179869351,0,
17179869352,262,
17179869353,156,
17179869354,232,
17179869355,24,
17179869356,16,
17179869357,16,
17179869358,777,
17179869359,133,
17179869360,78,
17179869361,0,
17179869362,278,
17179869363,72,
17179869364,0,
17179869365,5,
17179869366,1,
17179869367,40,
17179869371,38,
17179869372,1097,
17179869373,6,
17179869374,1,
17179869375,180,
17179869377,52,
17179869378,3,
17179869379,335,
17179869380,304,
17179869381,2873,
17179869382,271,
17179869384,1,
17179869385,0,
17179869386,395,
17179869387,57,
17179869389,11,
17179869390,1705,
17179869391,301,
17179869392,0,
17179869393,117,
17179869394,301,
17179869396,473,
17179869397,5,
17179869398,75,
17179869399,1277,
17179869400,52,
17179869403,80,
17179869405,249,
17179869406,95,
17179869407,39,
17179869408,4,
17179869409,316,
17179869410,1345,
17179869411,1,
17179869412,138,
17179869413,303,
17179869414,35,
17179869415,12,
17179869416,436,
17179869417,2464,
17179869418,123,
17179869419,20,
17179869420,6,
17179869421,14,
17179869422,0,
17179869423,43,
17179869424,0,
17179869425,312,
17179869427,3,
17179869428,2,
17179869429,10,
17179869430,5,
17179869431,0,
17179869432,1,
17179869433,66,
17179869434,8,
17179869435,91,
17179869436,48,
17179869437,176,
17179869441,1,
17179869442,126,
17179869443,39,
17179869444,14,
17179869445,122,
17179869446,6,
17179869447,313,
17179869449,303,
17179869450,233,
17179869451,0,
17179869452,23,
17179869453,0,
17179869454,24,
17179869455,886,
17179869456,3,
17179869457,10,
17179869458,742,
17179869459,90,
17179869461,441,
17179869462,11,
17179869463,81,
17179869464,3,
17179869465,2,
17179869466,97,
17179869467,27,
17179869469,63,
17179869470,10,
17179869472,50,
17179869473,246,
17179869474,3,
17179869476,5376,
17179869477,1,
17179869478,114,
17179869479,1,
17179869480,19,
17179869483,1,
17179869484,9,
17179869485,2,
17179869487,110,
17179869488,819,
17179869490,2,
17179869491,294,
17179869492,2,
17179869493,215,
17179869494,0,
17179869495,207,
17179869496,1115,
17179869497,104,
17179869498,1,
17179869499,209,
17179869500,99,
17179869501,0,
17179869502,3,
17179869503,73,
17179869504,85,
17179869505,1,
17179869506,523,
17179869507,32,
17179869508,47,
17179869509,1,
17179869510,3,
17179869511,1,
17179869512,0,
17179869513,1936,
17179869515,2,
17179869516,0,
17179869517,131,
17179869520,26,
17179869521,1,
17179869522,0,
17179869523,1,
17179869524,3,
17179869526,2,
17179869527,82,
17179869528,77,
17179869529,203,
17179869530,1,
17179869531,2,
17179869532,25,
17179869533,1,
17179869534,5,
17179869535,198,
17179869536,192,
17179869537,16,
17179869538,1,
17179869539,68,
17179869540,5,
17179869542,173,
17179869543,19,
17179869544,445,
17179869545,5,
17179869546,1,
17179869547,1215,
17179869548,149,
17179869549,1234,
17179869550,36,
17179869552,0,
17179869553,104,
17179869554,1006,
17179869555,101,
17179869556,0,
17179869558,2,
17179869559,1594,
17179869560,5,
17179869561,30,
17179869562,10,
17179869563,122,
17179869564,365,
17179869565,879,
17179869566,0,
17179869567,1,
17179869568,6,
17179869569,5,
17179869570,0,
17179869571,9,
17179869572,51,
17179869573,103,
17179869576,0,
17179869577,0,
17179869578,230,
17179869579,36,
17179869580,52,
17179869581,2,
17179869582,485,
17179869583,362,
17179869584,158,
17179869585,0,
17179869586,12,
17179869587,400,
17179869588,0,
17179869589,481,
17179869590,1,
17179869591,160,
17179869592,11,
17179869593,93,
17179869594,1070,
17179869595,3,
17179869596,67,
17179869598,10,
17179869599,3257,
17179869600,1523,
17179869602,16,
17179869604,6,
17179869605,301,
17179869606,3,
17179869607,2,
17179869608,317,
17179869609,61,
17179869610,274,
17179869611,0,
17179869612,1,
17179869613,34,
17179869614,293,
17179869615,3,
17179869617,68,
17179869618,207,
17179869619,1,
17179869620,211,
17179869621,1,
17179869622,290,
17179869623,4,
17179869624,3,
17179869626,21,
17179869627,30,
17179869628,17,
17179869629,13,
17179869630,69,
17179869631,173,
17179869632,6,
17179869633,87,
17179869634,65,
17179869635,2,
17179869636,636,
17179869637,338,
17179869638,1583,
17179869639,1,
17179869640,2,
17179869643,1048,
17179869644,35,
17179869645,25,
17179869646,2,
17179869648,1,
17179869649,15,
17179869650,11,
17179869651,4,
17179869652,2,
17179869653,3,
17179869654,1,
17179869655,42,
17179869656,0,
17179869657,171,
17179869659,24,
17179869661,75,
17179869662,13,
17179869664,20,
17179869665,0,
17179869667,7,
17179869668,9,
17179869669,89,
17179869670,2,
17179869672,2,
17179869673,482,
17179869674,0,
17179869676,0,
17179869677,0,
17179869678,6,
17179869679,4,
17179869680,14,
17179869681,36,
17179869682,102,
17179869683,120,
17179869684,1,
17179869685,67,
17179869686,16,
17179869687,14,
17179869688,1,
17179869689,0,
17179869692,4,
17179869693,429,
17179869694,163,
17179869695,9,
17179869696,2,
17179869697,87,
17179869698,0,
17179869699,16,
17179869700,99,
17179869701,5,
17179869702,19,
17179869703,265,
17179869705,4,
17179869706,2,
17179869708,36,
17179869709,4,
17179869710,34,
17179869712,6,
17179869713,28,
17179869714,0,
17179869715,9,
17179869716,2,
17179869717,2,
17179869718,8,
17179869719,186,
17179869720,20,
17179869721,40,
17179869722,76,
17179869723,109,
17179869724,80,
25769803777,373,
25769803779,3,
25769803780,672,
25769803781,55,
25769803782,160,
25769803783,23,
25769803784,0,
25769803785,1273,
25769803786,2,
25769803788,235,
25769803789,3100,
25769803790,0,
25769803793,163,
25769803794,215,
25769803795,1817,
25769803797,521,
25769803798,323,
25769803801,1,
25769803802,207,
25769803803,0,
25769803804,106,
25769803805,738,
25769803806,229,
25769803807,0,
25769803808,208,
25769803809,137,
25769803810,304,
25769803811,304,
25769803812,0,
25769803813,8,
25769803814,60,
25769803815,122,
25769803816,432,
25769803817,1,
25769803818,729,
25769803819,0,
25769803820,49,
25769803822,224,
25769803823,186,
25769803824,224,
25769803825,18,
25769803827,83,
25769803829,0,
25769803830,170,
25769803831,538,
25769803832,3,
25769803833,5,
25769803834,3,
25769803836,85,
25769803837,0,
25769803838,4,
25769803841,106,
25769803843,0,
25769803844,285,
25769803845,1405,
25769803846,0,
25769803847,2,
25769803848,4,
25769803850,3,
25769803853,37,
25769803854,194,
25769803855,211,
25769803856,3256,
25769803858,606,
25769803861,87,
25769803862,388,
25769803863,114,
25769803865,27,
25769803866,1568,
25769803867,200,
25769803869,267,
25769803870,0,
25769803871,178,
25769803872,697,
