,user_id,gender,income_level,age
366,25769803921,Female,High,< 18
369,25769803929,Female,Low,25 - 34
370,25769803932,Male,Low,25 - 34
372,25769803934,Female,Low,25 - 34
376,25769803943,Female,Low,25 - 34
381,25769803950,Male,Low,35 - 44
382,25769803951,Female,Low,35 - 44
383,25769803952,Male,Low,25 - 34
384,25769803964,Male,Medium,25 - 34
387,25769803969,Female,High,18 - 24
391,25769803985,Female,Medium,25 - 34
392,25769803996,Male,Medium,< 18
393,25769804013,Male,Low,25 - 34
394,25769804016,Male,Low,25 - 34
395,25769804026,Male,Medium,18 - 24
396,25769804063,Female,Low,35 - 44
398,25769804071,Female,Low,35 - 44
399,25769804087,Male,Medium,18 - 24
400,25769804119,Female,Medium,25 - 34
401,25769804125,Female,Medium,18 - 24
403,25769804143,Male,Medium,35 - 44
404,25769804164,Male,Low,25 - 34
405,25769804175,Female,Medium,18 - 24
406,25769804181,Male,Medium,35 - 44
407,25769804210,Female,Low,< 18
408,25769804214,Female,Low,< 18
409,25769804221,Female,Medium,25 - 34
410,25769804224,Female,Medium,18 - 24
411,25769804230,Female,Low,18 - 24
412,25769804260,Female,Low,35 - 44
418,34359738403,Female,Medium,25 - 34
419,34359738406,Male,Low,18 - 24
422,34359738428,Female,High,25 - 34
425,34359738433,Male,High,25 - 34
430,34359738440,Female,Medium,25 - 34
431,34359738441,Female,High,25 - 34
432,34359738442,Male,Low,25 - 34
433,34359738443,Female,Medium,25 - 34
434,34359738444,Female,High,25 - 34
435,34359738445,Male,High,25 - 34
439,34359738451,Female,Medium,25 - 34
440,34359738454,Female,Low,25 - 34
441,34359738455,Male,Medium,35 - 44
442,34359738456,Female,Medium,18 - 24
443,34359738459,Female,Medium,25 - 34
444,34359738468,Male,Medium,< 18
450,34359738477,Female,Medium,25 - 34
451,34359738481,Female,Low,35 - 44
452,34359738482,Male,Low,25 - 34
453,34359738489,Female,Medium,25 - 34
454,34359738491,Female,Medium,25 - 34
455,34359738495,Male,Low,35 - 44
456,34359738500,Female,High,25 - 34
457,34359738501,Female,Low,25 - 34
458,34359738504,Female,Medium,< 18
459,34359738508,Female,Low,25 - 34
460,34359738509,Female,Medium,25 - 34
461,34359738510,Male,Low,35 - 44
462,34359738512,Male,High,18 - 24
463,34359738516,Female,Medium,25 - 34
469,34359738551,Female,Low,25 - 34
470,34359738558,Female,Medium,25 - 34
471,34359738559,Male,Low,35 - 44
472,34359738572,Female,Low,< 18
474,34359738586,Female,Medium,18 - 24
476,34359738609,Male,Low,18 - 24
477,34359738614,Female,Medium,25 - 34
478,34359738620,Male,Medium,25 - 34
479,34359738630,Female,Low,25 - 34
480,34359738634,Female,Low,45 - 54
481,34359738645,Female,Medium,25 - 34
482,34359738646,Male,Medium,25 - 34
483,34359738658,Male,Medium,< 18
484,34359738740,Female,Low,25 - 34
486,34359738759,Female,Low,25 - 34
488,34359738765,Female,High,35 - 44
489,34359738778,Female,Medium,18 - 24
490,34359738780,Female,Medium,18 - 24
491,34359738783,Male,High,18 - 24
492,34359738792,Male,High,25 - 34
494,34359738815,Female,Medium,25 - 34
495,34359738816,Female,Medium,18 - 24
496,34359738827,Female,Medium,18 - 24
497,34359738851,Female,Low,25 - 34
499,34359738858,Female,Low,25 - 34
506,42949673016,Male,Medium,25 - 34
507,42949673017,Female,Low,18 - 24
508,42949673018,Female,Low,< 18
510,42949673021,Male,Medium,25 - 34
511,42949673024,Male,Low,25 - 34
512,42949673025,Male,Medium,25 - 34
513,42949673026,Female,High,18 - 24
515,42949673029,Male,Low,55+
516,42949673030,Male,High,25 - 34
517,42949673031,Female,Medium,< 18
518,42949673032,Female,High,< 18
519,42949673034,Male,Low,25 - 34
521,42949673036,Female,High,25 - 34
523,42949673039,Female,Low,25 - 34
527,42949673050,Female,Low,18 - 24
528,42949673055,Male,High,25 - 34
530,42949673076,Male,Low,25 - 34
532,42949673081,Female,Low,< 18
534,42949673084,Male,Medium,55+
535,42949673085,Female,Low,25 - 34
536,42949673090,Female,Low,18 - 24
538,42949673098,Male,Low,18 - 24
540,42949673106,Male,High,35 - 44
541,42949673108,Female,Low,< 18
543,42949673112,Female,High,25 - 34
544,42949673113,Female,Low,25 - 34
545,42949673116,Female,Low,25 - 34
547,42949673122,Male,Low,25 - 34
548,42949673128,Male,High,25 - 34
549,42949673130,Male,Low,25 - 34
552,42949673167,Male,Medium,25 - 34
553,42949673177,Male,Low,25 - 34
554,42949673182,Female,High,25 - 34
555,42949673190,Male,Medium,25 - 34
556,42949673197,Male,Medium,25 - 34
557,42949673202,Male,Low,35 - 44
558,42949673203,Male,High,18 - 24
559,42949673223,Female,Low,25 - 34
561,42949673232,Female,Low,< 18
562,42949673239,Female,Medium,18 - 24
563,42949673244,Female,Low,18 - 24
564,42949673255,Male,Medium,35 - 44
567,42949673319,Female,Low,18 - 24
570,42949673380,Male,Low,25 - 34
571,42949673385,Male,Medium,25 - 34
572,42949673389,Female,Low,< 18
573,42949673393,Female,Medium,25 - 34
574,42949673412,Female,High,< 18
576,42949673483,Male,High,25 - 34
583,51539607599,Female,Medium,< 18
585,51539607601,Male,Medium,18 - 24
589,51539607607,Male,Low,25 - 34
590,51539607609,Male,Low,25 - 34
591,51539607610,Female,Low,< 18
593,51539607613,Male,Low,25 - 34
594,51539607614,Female,Low,25 - 34
595,51539607616,Female,High,25 - 34
596,51539607617,Female,High,25 - 34
597,51539607618,Male,Medium,35 - 44
599,51539607621,Female,Low,18 - 24
600,51539607622,Female,Low,25 - 34
601,51539607626,Female,Medium,25 - 34
603,51539607629,Female,Medium,25 - 34
604,51539607630,Female,High,< 18
608,51539607638,Male,Low,18 - 24
609,51539607639,Female,Low,25 - 34
610,51539607640,Male,Low,18 - 24
611,51539607641,Female,Low,35 - 44
616,51539607650,Male,High,35 - 44
618,51539607653,Male,Medium,35 - 44
621,51539607659,Male,Low,25 - 34
622,51539607660,Female,Low,18 - 24
626,51539607669,Female,High,18 - 24
629,51539607680,Female,Medium,25 - 34
632,51539607683,Male,Medium,25 - 34
633,51539607684,Female,High,25 - 34
634,51539607686,Male,Medium,25 - 34
636,51539607690,Male,Low,25 - 34
641,51539607716,Female,Medium,18 - 24
643,51539607722,Female,Medium,25 - 34
645,51539607733,Male,Low,35 - 44
647,51539607784,Female,Medium,< 18
648,51539607788,Female,Low,18 - 24
649,51539607790,Male,Low,35 - 44
652,51539607810,Female,Low,35 - 44
655,51539607833,Female,Low,18 - 24
657,51539607862,Male,Low,18 - 24
658,51539607872,Female,Low,18 - 24
659,51539607899,Male,Medium,25 - 34
660,51539607909,Female,Medium,18 - 24
661,51539607911,Male,Medium,18 - 24
663,51539607952,Male,Low,25 - 34
664,51539607955,Female,Medium,< 18
665,51539607967,Female,Low,25 - 34
666,51539607983,Male,Medium,25 - 34
667,51539607986,Male,Medium,18 - 24
668,51539608010,Male,Low,35 - 44
669,51539608013,Male,Low,18 - 24
670,51539608014,Male,Medium,35 - 44
671,51539608015,Female,Low,25 - 34
672,51539608019,Female,Medium,18 - 24
673,51539608037,Male,Medium,< 18
676,51539608066,Female,Low,< 18
677,51539608069,Female,Low,18 - 24
678,60129542166,Male,Medium,< 18
681,60129542180,Female,Low,25 - 34
687,60129542194,Female,Medium,18 - 24
688,60129542195,Female,Low,35 - 44
689,60129542198,Female,Low,25 - 34
692,60129542203,Female,Low,25 - 34
693,60129542205,Male,High,25 - 34
694,60129542207,Male,Medium,25 - 34
695,60129542208,Female,Medium,25 - 34
700,60129542219,Female,Medium,25 - 34
701,60129542222,Female,Low,25 - 34
702,60129542224,Male,Medium,25 - 34
703,60129542226,Female,Low,25 - 34
705,60129542228,Female,High,25 - 34
706,60129542232,Male,Low,25 - 34
707,60129542233,Male,Medium,25 - 34
708,60129542242,Female,Low,25 - 34
709,60129542251,Female,Medium,18 - 24
710,60129542254,Male,Low,18 - 24
711,60129542263,Female,Medium,25 - 34
712,60129542269,Male,Low,25 - 34
713,60129542270,Female,Medium,25 - 34
714,60129542271,Male,High,45 - 54
715,60129542272,Male,Medium,25 - 34
716,60129542275,Male,Low,25 - 34
718,60129542279,Female,Medium,25 - 34
719,60129542280,Male,Low,18 - 24
720,60129542283,Female,Medium,18 - 24
721,60129542285,Female,Low,18 - 24
722,60129542291,Male,High,25 - 34
723,60129542297,Female,Low,55+
724,60129542300,Female,Low,35 - 44
725,60129542313,Male,Medium,45 - 54
726,60129542315,Male,Low,18 - 24
727,60129542317,Male,Low,25 - 34
728,60129542322,Female,Low,< 18
729,60129542358,Male,Low,25 - 34
730,60129542368,Male,Medium,25 - 34
731,60129542381,Female,Low,18 - 24
732,60129542399,Female,Low,25 - 34
733,60129542402,Female,Low,18 - 24
734,60129542414,Female,Low,25 - 34
735,60129542418,Female,Medium,18 - 24
736,60129542419,Female,Medium,< 18
737,60129542427,Male,High,25 - 34
738,60129542431,Male,Medium,18 - 24
739,60129542438,Female,Low,18 - 24
740,60129542441,Female,Medium,< 18
742,60129542447,Male,Medium,25 - 34
743,60129542480,Female,High,18 - 24
744,60129542481,Male,Low,25 - 34
745,60129542491,Male,Medium,25 - 34
746,60129542512,Male,Low,25 - 34
747,60129542513,Female,Low,18 - 24
749,60129542551,Male,Medium,18 - 24
750,60129542552,Female,Low,18 - 24
751,60129542569,Female,Low,18 - 24
752,60129542594,Male,Low,< 18
753,60129542626,Female,Medium,25 - 34
754,60129542643,Female,Medium,25 - 34
755,60129542650,Female,Medium,25 - 34
756,60129542687,Female,Medium,18 - 24
758,68719476764,Male,Medium,35 - 44
760,68719476767,Male,Medium,18 - 24
766,68719476790,Female,High,18 - 24
769,68719476794,Female,Medium,18 - 24
773,68719476802,Female,Medium,25 - 34
775,68719476808,Male,Low,35 - 44
776,68719476810,Female,Low,18 - 24
777,68719476811,Female,Low,25 - 34
779,68719476813,Female,Medium,18 - 24
781,68719476818,Female,Medium,35 - 44
782,68719476822,Female,Medium,35 - 44
783,68719476823,Male,Medium,35 - 44
785,68719476828,Female,Low,55+
786,68719476829,Female,Low,18 - 24
787,68719476831,Male,Low,25 - 34
788,68719476832,Male,High,25 - 34
790,68719476838,Male,Medium,45 - 54
791,68719476841,Female,Medium,18 - 24
792,68719476853,Female,Medium,25 - 34
794,68719476857,Female,High,25 - 34
795,68719476861,Female,Low,35 - 44
796,68719476866,Female,Medium,18 - 24
797,68719476867,Male,Low,35 - 44
800,68719476879,Female,Low,25 - 34
801,68719476883,Female,High,35 - 44
803,68719476886,Male,Medium,25 - 34
804,68719476892,Male,Low,25 - 34
805,68719476893,Male,Low,25 - 34
806,68719476895,Female,Low,18 - 24
807,68719476898,Male,Medium,18 - 24
808,68719476905,Female,Medium,25 - 34
809,68719476906,Male,Low,25 - 34
810,68719476909,Female,Low,18 - 24
811,68719476910,Male,Low,25 - 34
812,68719476913,Male,Low,< 18
816,68719476921,Male,Medium,25 - 34
817,68719476924,Female,High,25 - 34
818,68719476948,Female,High,25 - 34
820,68719476952,Female,Medium,25 - 34
821,68719476960,Male,Medium,35 - 44
822,68719476974,Female,Low,18 - 24
823,68719477019,Female,Low,25 - 34
824,68719477025,Female,High,25 - 34
825,68719477026,Female,Low,25 - 34
826,68719477038,Male,Low,< 18
827,68719477047,Female,High,25 - 34
828,68719477090,Female,Medium,35 - 44
829,68719477092,Male,Low,25 - 34
830,68719477109,Female,Medium,25 - 34
831,68719477144,Female,Low,35 - 44
832,68719477149,Female,Low,< 18
833,68719477165,Male,Medium,25 - 34
834,68719477188,Female,Low,25 - 34
835,68719477190,Female,High,18 - 24
836,68719477195,Female,Medium,18 - 24
838,68719477211,Male,Medium,25 - 34
839,68719477215,Female,Medium,25 - 34
840,68719477264,Male,Low,25 - 34
